Date,F_trend_sma,F_momentum_rsi,F_volat_bb,F_volume_obv
2000-01-31,,,,
2000-02-01,,,,
2000-02-02,,,,
2000-02-03,,,,
2000-02-04,,,,
2000-02-07,,,,
2000-02-08,,,,
2000-02-09,,,,
2000-02-10,,,,
2000-02-11,,,,
2000-02-14,,,,
2000-02-15,,,,
2000-02-16,,,,
2000-02-17,,,,
2000-02-18,,,,
2000-02-21,,,,
2000-02-22,,,,
2000-02-23,,,,
2000-02-24,,,,
2000-02-25,,,,
2000-02-28,,,,
2000-02-29,,,,
2000-03-01,,,,
2000-03-02,,,,
2000-03-03,,,,
2000-03-06,,,,
2000-03-07,,,,
2000-03-08,,,,
2000-03-09,,,,
2000-03-10,,,,
2000-03-13,,,,
2000-03-14,,,,
2000-03-15,,,,
2000-03-16,,,,
2000-03-17,,,,
2000-03-20,,,,
2000-03-21,,,,
2000-03-22,,,,
2000-03-23,,,,
2000-03-24,,,,
2000-03-27,,,,
2000-03-28,,,,
2000-03-29,,,,
2000-03-30,,,,
2000-03-31,,,,
2000-04-03,,,,
2000-04-04,,,,
2000-04-05,,,,
2000-04-06,,,,
2000-04-07,,,,
2000-04-10,,,,
2000-04-11,,,,
2000-04-12,,,,
2000-04-13,,,,
2000-04-14,,,,
2000-04-17,,,,
2000-04-18,,,,
2000-04-19,,,,
2000-04-20,,,,
2000-04-21,,,,
2000-04-24,,,,
2000-04-25,,,,
2000-04-26,,,,
2000-04-27,,,,
2000-04-28,,,,
2000-05-01,,,,
2000-05-02,,,,
2000-05-03,,,,
2000-05-04,,,,
2000-05-05,,,,
2000-05-08,,,,
2000-05-09,,,,
2000-05-10,,,,
2000-05-11,,,,
2000-05-12,,,,
2000-05-15,,,,
2000-05-16,,,,
2000-05-17,,,,
2000-05-18,,,,
2000-05-19,,,,
2000-05-22,,,,
2000-05-23,,,,
2000-05-24,,,,
2000-05-25,,,,
2000-05-26,,,,
2000-05-29,,,,
2000-05-30,,,,
2000-05-31,,,,
2000-06-01,,,,
2000-06-02,,,,
2000-06-05,,,,
2000-06-06,,,,
2000-06-07,,,,
2000-06-08,,,,
2000-06-09,,,,
2000-06-12,,,,
2000-06-13,,,,
2000-06-14,,,,
2000-06-15,,,,
2000-06-16,,,,
2000-06-19,,,,
2000-06-20,,,,
2000-06-21,,,,
2000-06-22,,,,
2000-06-23,,,,
2000-06-26,,,,
2000-06-27,,,,
2000-06-28,,,,
2000-06-29,,,,
2000-06-30,,,,
2000-07-03,,,,
2000-07-04,,,,
2000-07-05,,,,
2000-07-06,,,,
2000-07-07,,,,
2000-07-10,,,,
2000-07-11,,,,
2000-07-12,,,,
2000-07-13,,,,
2000-07-14,,,,
2000-07-17,,,,
2000-07-18,,,,
2000-07-19,,,,
2000-07-20,,,,
2000-07-21,,,,
2000-07-24,-0.7348068836749861,-0.8267945761610432,0.38106894448506795,0.09085244650003174
2000-07-25,-0.7303679484444411,-0.8213338615397422,0.37935910836989806,0.09049393873248746
2000-07-26,-0.726008686568147,-0.8159802022383377,0.37767210871388623,0.09013964181985183
2000-07-27,-0.7217267396227032,-0.8107301409951341,0.37600744119185997,0.08978947397106568
2000-07-28,-0.7175198458524431,-0.8055803749619357,0.3743646169470975,0.08944335560211226
2000-07-31,-0.7133858351319433,-0.8005277469460547,0.3727431619862226,0.0891012092600325
2000-08-01,-0.709322624245788,-0.7955692372519519,0.371142616602797,0.08876295955011315
2000-08-02,-0.7053282124622149,-0.7907019560745943,0.3695625348280191,0.08842853306609286
2000-08-03,-0.7014006773792859,-0.7859231364009622,0.36800248390702744,0.08809785832323899
2000-08-04,-0.5260818019978513,-0.48766134533202693,0.35532256263330064,-0.04994526649908041
2000-08-07,-0.532232502320201,-0.4854510786920431,0.3423549772256518,0.08847309888078468
2000-08-08,-0.4827633496294321,-0.48327063959799016,0.3045284161454427,0.08814945918044179
2000-08-09,-0.43258507575120825,-0.4811193624020283,0.25469432043739443,0.08782934538634325
2000-08-10,-0.02662985332158445,-0.03512754705463171,0.19284382214547693,-0.5931531812545834
2000-08-11,0.007056966258843991,-0.03500261715624945,0.12019733960951628,0.09200346700832493
2000-08-14,0.041151584588973056,-0.03487901069726398,0.03304450598951332,0.09167620028120751
2000-08-15,0.0756628585199886,-0.03475670447649152,-0.07547571811778687,0.09135240130847475
2000-08-16,0.11059864330259041,-0.03463567585818899,-0.22154249241402968,0.09103200927764889
2000-08-17,0.07902151536937306,-0.03451590275445614,-0.20347732522842726,0.09071496485889155
2000-08-18,0.04777940126797099,-0.03439736360830732,-0.1922616206890111,0.09040121015884915
2000-08-21,0.016865654460118246,-0.03428003737737743,-0.18726267368144775,0.09009068867624255
2000-08-22,-0.013725379784881626,-0.03416390351823487,-0.18813852770251946,0.08978334525912307
2000-08-23,-0.04399844343149681,-0.03404894197127184,-0.19477815767430587,0.08947912606372205
2000-08-24,-0.07395743936066344,-0.03393513314615524,-0.207290043044606,0.08917797851482384
2000-08-25,-0.10360550028939937,-0.03382245790780534,-0.2260344834681682,0.08887985126759616
2000-08-28,-0.13294505344052462,-0.03371089756288473,-0.2517173963929863,0.08858469417081478
2000-08-29,-0.1619778814040801,-0.03360043384677203,-0.2856051455324034,0.08829245823142293
2000-08-30,-0.19070517956950048,-0.033491048911004434,-0.3300452918718867,0.08800309558036828
2000-08-31,-0.21912761045281987,-0.03338272531116443,-0.3900064604186374,0.0877165594396638
2000-09-01,-0.23765950156760837,-0.03327544599519877,-0.41889531171263567,0.08743280409062057
2000-09-04,-0.2560560660443494,-0.03316919429214222,-0.4572048964054458,0.08715178484320395
2000-09-05,-0.27431671962517035,-0.033063953901237494,-0.5122304229303295,0.08687345800646619
2000-09-06,-0.29244078455935457,-0.0329597088814347,-0.6593754899118671,0.0865977808600114
2000-09-07,-0.29144667881541236,-0.032856443641247485,-0.6564093249092752,0.08632471162645006
2000-09-08,-0.2904626482592395,-0.03275414292896163,-0.6534829017898005,0.08605420944480345
2000-09-11,-0.2894885237602606,-0.03265279182317197,-0.6505953399699093,0.08578623434481863
2000-09-12,-0.28852414013806915,-0.03255237572364434,-0.6477457859611685,0.08552074722215841
2000-09-13,-0.28756933604454576,-0.032452880342481116,-0.6449334123072293,0.08525770981443023
2000-09-14,-0.28662395385024786,-0.03235429169558276,-0.642157416571354,0.08499708467802158
2000-09-15,-0.28568783953489224,-0.032256596094393845,-0.6394170203716728,0.08473883516570933
2000-09-18,-0.2847608425817539,-0.032159780137919626,-0.6367114684615346,0.08448292540501323
2000-09-19,-0.2838428158758194,-0.03206383070500803,-0.6340400278524759,0.08422932027726386
2000-09-20,-0.2829336156055365,-0.03196873494687905,-0.6314019869775007,0.08397798539735796
2000-09-21,-0.2820331011680113,-0.031874480279900065,-0.6287966548924915,0.08372888709417425
2000-09-22,-0.28114113507751065,-0.0317810543785907,-0.6262233605137205,0.08348199239162453
2000-09-25,-0.28025758287713465,-0.0316884451688549,-0.6236814518895462,0.08323726899031582
2000-09-26,-0.2793823130535302,-0.0315966408214284,-0.6211702955044934,0.08299468524980037
2000-09-27,-0.2785151969545223,-0.03150562974552937,-0.6186892756140387,0.08275421017139159
2000-09-28,-0.2776561087095463,-0.0314154005827168,-0.616237793608501,0.08251581338152425
2000-09-29,-0.2768049251527687,-0.031325942200932405,-0.6138152674045523,0.08227946511563933
2000-10-02,-0.2759615257487897,-0.03123724368873632,-0.6114211308629396,0.08204513620257353
2000-10-03,-0.2751257925208268,-0.03114929434971478,-0.609054833231092,0.08181279804943502
2000-10-04,-0.2742976099812803,-0.03106208369706502,-0.6067158386093681,0.08158242262694788
2000-10-05,-0.273476865064589,-0.030975601448340943,-0.6044036254397652,0.08135398245524784
2000-10-06,-0.27266344706228773,-0.030889837520364824,-0.6021176860159853,0.08112745059011311
2000-10-09,-0.27185724756018004,-0.030804782024285948,-0.5998575260138065,0.0809028006096147
2000-10-10,-0.27105816037754754,-0.03072042526079587,-0.5976226640407759,0.08068000660117108
2000-10-11,-0.27026608150831605,-0.030636757715478843,-0.5954126312042908,0.08045904314899296
2000-10-12,-0.2694809090641061,-0.030553770054310054,-0.5932269706971853,0.08023988532190418
2000-10-13,-0.2687025432190963,-0.030471453119276584,-0.5910652373999934,0.08002250866152547
2000-10-16,-0.2679308861566309,-0.0303897979241377,-0.5889269974990969,0.07980688917080873
2000-10-17,-0.26716584201750887,-0.030308795650301708,-0.5868118281200165,0.07959300330290908
2000-10-18,-0.26640731684988944,-0.030228437642827576,-0.5847193169751412,0.07938082795038327
2000-10-19,-0.26565521856075724,-0.03014871540654062,-0.5826490620252264,0.07917034043470332
2000-10-20,-0.26490945686888856,-0.030069620602260268,-0.5806006711540326,0.07896151849607422
2000-10-23,-0.26416994325926385,-0.029991145043137237,-0.5785737618555028,0.07875434028354562
2000-10-24,-0.26343659093887617,-0.029913280691094526,-0.5765679609329136,0.07854878434540752
2000-10-25,-0.26270931479388204,-0.029836019653367064,-0.5745829042094607,0.07834482961986006
2000-10-26,-0.26198803134805093,-0.029759354179147764,-0.5726182362497687,0.07814245542594865
