Date,F_trend_sma,F_momentum_rsi,F_volat_bb,F_volume_obv
2000-01-31,,,,
2000-02-01,,,,
2000-02-02,,,,
2000-02-03,,,,
2000-02-04,,,,
2000-02-07,,,,
2000-02-08,,,,
2000-02-09,,,,
2000-02-10,,,,
2000-02-11,,,,
2000-02-14,,,,
2000-02-15,,,,
2000-02-16,,,,
2000-02-17,,,,
2000-02-18,,,,
2000-02-21,,,,
2000-02-22,,,,
2000-02-23,,,,
2000-02-24,,,,
2000-02-25,,,,
2000-02-28,,,,
2000-02-29,,,,
2000-03-01,,,,
2000-03-02,,,,
2000-03-03,,,,
2000-03-06,,,,
2000-03-07,,,,
2000-03-08,,,,
2000-03-09,,,,
2000-03-10,,,,
2000-03-13,,,,
2000-03-14,,,,
2000-03-15,,,,
2000-03-16,,,,
2000-03-17,,,,
2000-03-20,,,,
2000-03-21,,,,
2000-03-22,,,,
2000-03-23,,,,
2000-03-24,,,,
2000-03-27,,,,
2000-03-28,,,,
2000-03-29,,,,
2000-03-30,,,,
2000-03-31,,,,
2000-04-03,,,,
2000-04-04,,,,
2000-04-05,,,,
2000-04-06,,,,
2000-04-07,,,,
2000-04-10,,,,
2000-04-11,,,,
2000-04-12,,,,
2000-04-13,,,,
2000-04-14,,,,
2000-04-17,,,,
2000-04-18,,,,
2000-04-19,,,,
2000-04-20,,,,
2000-04-21,,,,
2000-04-24,,,,
2000-04-25,,,,
2000-04-26,,,,
2000-04-27,,,,
2000-04-28,,,,
2000-05-01,,,,
2000-05-02,,,,
2000-05-03,,,,
2000-05-04,,,,
2000-05-05,,,,
2000-05-08,,,,
2000-05-09,,,,
2000-05-10,,,,
2000-05-11,,,,
2000-05-12,,,,
2000-05-15,,,,
2000-05-16,,,,
2000-05-17,,,,
2000-05-18,,,,
2000-05-19,,,,
2000-05-22,,,,
2000-05-23,,,,
2000-05-24,,,,
2000-05-25,,,,
2000-05-26,,,,
2000-05-29,,,,
2000-05-30,,,,
2000-05-31,,,,
2000-06-01,,,,
2000-06-02,,,,
2000-06-05,,,,
2000-06-06,,,,
2000-06-07,,,,
2000-06-08,,,,
2000-06-09,,,,
2000-06-12,,,,
2000-06-13,,,,
2000-06-14,,,,
2000-06-15,,,,
2000-06-16,,,,
2000-06-19,,,,
2000-06-20,,,,
2000-06-21,,,,
2000-06-22,,,,
2000-06-23,,,,
2000-06-26,,,,
2000-06-27,,,,
2000-06-28,,,,
2000-06-29,,,,
2000-06-30,,,,
2000-07-03,,,,
2000-07-04,,,,
2000-07-05,,,,
2000-07-06,,,,
2000-07-07,,,,
2000-07-10,,,,
2000-07-11,,,,
2000-07-12,,,,
2000-07-13,,,,
2000-07-14,,,,
2000-07-17,,,,
2000-07-18,,,,
2000-07-19,,,,
2000-07-20,,,,
2000-07-21,,,,
2000-07-24,1.587323055090088,2.0642486174342936,-0.2314440554495555,
2000-07-25,0.9064716637763228,1.3488892686769107,-0.2659918258229225,0.062101109741430974
2000-07-26,1.2411402455853884,1.6695272670864585,-0.26531398055935534,-0.14499496855609395
2000-07-27,0.9043160766492586,1.3895689006985135,-0.3801767194185442,0.060781321772151196
2000-07-28,0.4157794062897334,0.936988558298837,-0.5607186062970901,0.012586356623788054
2000-07-31,0.1248297942993712,0.677843775640073,-0.6641907169436992,0.17742636850961954
2000-08-01,0.06824282190594855,0.6506783360273118,-0.7805452079058941,0.12930085267276886
2000-08-02,-0.1364951415839556,0.4308896658310501,-0.7635603479676868,-0.003380029061919718
2000-08-03,0.5388885072688022,1.0791193199096658,-0.8244386791717733,-0.05348544309785542
2000-08-04,0.4662392684705269,0.9930832263417527,-0.819326943049136,-0.028814153610284502
2000-08-07,0.7843813850460261,1.3070247098972547,-0.7740357574938114,-0.057512539796004965
2000-08-08,0.7750820973157232,1.3360247502015345,-0.7656205203223201,-0.07309209188235713
2000-08-09,0.5909488129760803,1.1153492549643007,-0.7460110100314274,-0.010028433261098835
2000-08-10,0.578299407395714,1.1544993421627652,-0.8264944448152234,-0.053914513300889026
2000-08-11,0.922745662566344,1.5550774686650826,-0.815583026851223,-0.06056326982656067
2000-08-14,1.1426762566932074,1.7970461714730044,-0.7074727537578609,-0.0993342060543226
2000-08-15,1.0219736409054179,1.7019473917741461,-0.6401782833146697,-0.007849023099002948
2000-08-16,0.17986796790923404,0.6287537912035982,-0.7428745399254495,0.07732861959932796
2000-08-18,0.8106772542521811,1.289822031361329,-0.8020457196067389,-0.056857408221772175
2000-08-21,0.5215312715184329,0.9672413023203447,-0.7849997468566894,-0.022624074384164958
2000-08-22,0.8044988027070552,1.221106608934437,-0.752249138886526,-0.06486200323153642
2000-08-23,0.9739809722168223,1.4008636152531304,-0.6656706538454754,-0.053435851914426895
2000-08-24,0.6617691505584232,1.0314947138552202,-0.639452118816543,-0.0206669192976473
2000-08-25,0.8472253287086174,1.2282849133500426,-0.5789610573072677,-0.06613752526396943
2000-08-28,0.6780726606814745,1.0760762285733156,-0.5854065169279992,-0.02356468999886199
2000-08-29,0.4193581590954754,0.8131950272335425,-0.6793549420945211,-0.021669401678161136
2000-08-30,0.0444603173875452,0.4072535298912396,-0.8011509473605543,-0.022883912128037386
2000-08-31,-0.19313975041947865,0.17855663040732772,-1.0036389614911005,0.020167695500743776
2000-09-01,0.2309381104018955,0.6980431459581652,-1.054283213110344,-0.05641968231173801
2000-09-04,0.1357046028359732,0.612602676063796,-1.1315253629480584,0.04160966865686678
2000-09-05,0.25357456759272085,0.7659248396669396,-1.1438269625670638,-0.12413430632795106
2000-09-06,0.21658627284112927,0.7311197317711817,-1.1526805827591426,-0.02808213765448179
2000-09-07,0.19441054941610436,0.7275795844158798,-1.1935160482354472,-0.039371735252583355
2000-09-08,0.3462323603815054,0.9613534982570016,-1.2259512693046914,-0.10109050849664677
2000-09-11,-0.13689953661547902,0.23393168685952861,-1.182169089721834,0.04140487585969156
2000-09-12,-0.10552477422626379,0.2331687412078299,-1.1678468945079035,-0.039115697584469554
2000-09-13,0.032983093865693085,0.4050645267773271,-1.1706746719513634,-0.060121825603742324
2000-09-14,-0.3113463836661293,-0.07519825983067836,-1.1560818673445097,-0.012446726953751335
2000-09-15,-0.6721235527647197,-0.5645034772002697,-0.9684815506512978,-0.027164108772115243
2000-09-18,-1.0055522470238274,-0.9528417321641502,-0.6781476461887536,-0.025328169439709804
2000-09-19,-0.9512769658816231,-0.9692474495039954,-0.4761844301846285,-0.025459902135603573
2000-09-20,-1.0655116060305632,-1.1608018749830635,-0.29999103451538645,0.060301536611500145
2000-09-21,-0.20666356350885862,0.09442537592534736,-0.29738938537089343,-0.09244994660318766
2000-09-22,-0.23883358827595105,-0.012231105427721189,-0.33624618624187347,-0.024781315963253676
2000-09-25,-0.41147764778725376,-0.27474994859627516,-0.34004650836011713,0.02979017363675363
2000-09-26,-0.5848585784964632,-0.5225991018045438,-0.28639489353828157,0.004230485710137415
2000-09-27,-1.1178363910313236,-1.0557513980862079,-0.06487605648014833,-0.006033638763092092
2000-09-28,-0.7595402003607352,-0.6190592717145977,0.052493781091944136,-0.09447459863887425
2000-09-29,-0.9871777487740961,-0.8868655074976691,0.17241577412504713,0.03003598618249131
2000-10-02,-1.084948048317966,-1.03970214789876,0.3091310227275705,-0.029823998553447698
2000-10-03,-1.16799858095912,-1.1866666792919853,0.42177745800495176,-0.027930249362128023
2000-10-04,-1.1210616865358467,-1.2361257581058902,0.5001638617117103,-0.030502524167928806
2000-10-05,-0.6207300840006221,-0.6291388956346695,0.44430206888318446,-0.04797011646953482
2000-10-06,-0.956221881520634,-1.0109424323164924,0.3653374512170583,-0.023535677110642358
2000-10-09,-0.7121684525981336,-0.8118927859200764,0.3381693290994759,-0.08431751139720853
2000-10-10,-0.6782695494561002,-0.8749455740839363,0.2722528618823408,0.013276177385647419
2000-10-11,-0.686462470500683,-0.9840441285659425,0.12235114826180263,0.00112326003246365
2000-10-12,-0.5741260638005772,-0.9787661946700639,0.017805402728606305,-0.03863559464113995
2000-10-13,-0.5104518543042968,-0.9987359681259,-0.008852532968795204,0.00797873903409808
2000-10-16,-0.6306152079503715,-1.170641177140702,0.05357916213984209,-0.030719575609188164
2000-10-17,-0.7167538642051934,-1.3093974265458783,0.12553419904584584,0.003906197643191383
2000-10-18,-1.444292598941822,-1.8691477263361946,0.4134233786238202,-0.03460284947262651
2000-10-19,-0.8945849688952553,-1.1798361265768056,0.3184456143788746,-0.043118032168188956
2000-10-20,-0.7574504190298371,-1.172394859178241,0.16530153708306367,-0.03853971702451614
2000-10-23,-1.3823672259314836,-1.657445522446446,0.22756224751357526,-0.03170032571411671
2000-10-24,-1.5851665248585147,-1.825701374625448,0.39532635977051067,-0.023271587288758253
2000-10-25,-1.511798637451106,-1.8350941393399702,0.6510456100292156,-0.027879701978585043
2000-10-26,-1.0618117034430092,-1.3381153124982814,0.6694405955414194,-0.046479208682598507
2000-10-27,-0.3635737979356546,-0.5265425559211561,0.6071783000336339,-0.042684589626275894
2000-10-30,-0.36885307670022954,-0.5963623015396935,0.5704412411951773,-0.03278802742363839
