Date,F_trend_sma,F_momentum_rsi,F_volat_bb,F_volume_obv
2003-01-07,0.025641025641025994,1.0,0.21045709786362166,0.0
2003-01-08,0.019108280254777288,1.0,0.18667391008026676,0.0
2003-01-09,0.012658227848101555,1.0,0.15584481297496056,0.0
2003-01-10,0.006289308176101072,1.0,0.11250656490565031,0.0
2003-01-13,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-01-14,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-01-15,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-01-16,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-01-17,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-01-20,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-01-21,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-01-22,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-01-23,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-01-24,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-01-27,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-01-28,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-01-29,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-01-30,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-01-31,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-02-03,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-02-04,4.440892098500626e-16,0.9999999999999999,1.0791263793156086e-22,0.0
2003-02-05,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-02-06,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-02-07,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-02-10,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-02-11,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-02-12,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-02-13,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-02-14,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-02-17,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-02-18,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-02-19,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-02-20,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-02-21,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-02-24,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-02-25,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-02-26,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-02-27,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-02-28,4.440892098500626e-16,1.0000000000000002,1.0791263793156086e-22,0.0
2003-03-03,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-03-04,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-03-05,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-03-06,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-03-07,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-03-10,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-03-11,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-03-12,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-03-13,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-03-14,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-03-17,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
2003-03-18,4.440892098500626e-16,1.0,1.0791263793156086e-22,0.0
