Date,Close,High,Low,Open,Volume
2006-08-31,-362955.375,-363730.938436552,-360628.74385978415,-360628.74385978415,22125
2006-09-01,-364584.0625,-368384.24988450826,-364584.0625,-368384.24988450826,12952
2006-09-05,-371486.34375,-371486.34375,-371486.34375,-371486.34375,0
2006-09-06,-366445.3125,-367608.6427862682,-366445.3125,-366445.3125,4612
2006-09-07,-366445.3125,-366445.3125,-366445.3125,-366445.3125,0
2006-09-08,-362567.5625,-368384.1544117647,-362567.5625,-368384.1544117647,6410
2006-09-11,-364506.5,-364506.5,-360628.7712765957,-360628.7712765957,102
2006-09-12,-360628.75,-367996.4400567291,-360628.75,-367996.4400567291,109
2006-09-13,-358689.875,-360628.73918918916,-358689.875,-358689.875,191
2006-09-14,-348995.5,-356750.9555555555,-348607.7331391652,-355587.6253883362,44
2006-09-15,-352873.25,-354812.114010989,-350934.385989011,-350973.1715529515,34
2006-09-18,-357138.75,-358689.8471478531,-352873.255031942,-356750.9831092161,46
2006-09-19,-352059.0,-364506.50585179345,-347056.72631633526,-349034.3762807429,81
2006-09-20,-343179.0,-348995.593220339,-343179.0,-348995.593220339,333
2006-09-21,-333484.65625,-339301.24909156974,-329645.71325828583,-329645.71325828583,59
2006-09-22,-333911.15625,-337362.3317598464,-325729.1479060586,-329994.6427355042,133
2006-09-25,-329606.90625,-333484.63455882354,-322471.9003624299,-329490.57913429034,18779
2006-09-26,-336974.625,-337323.6063772102,-329606.93466121674,-329606.93466121674,84
2006-09-27,-337362.34375,-339223.66625003435,-330382.4213557682,-330382.4213557682,36
2006-09-28,-339301.25,-339301.25,-335229.62316611153,-336974.61877408705,131
2006-09-29,-336005.15625,-343178.947541552,-333484.6269895308,-335462.2766658643,97
2006-10-02,-346087.25,-346668.9151606413,-339184.89837501163,-339301.2254901961,6613
2006-10-03,-345117.8125,-346281.1428029885,-341240.0842696629,-345117.8125,5
2006-10-04,-351011.90625,-352252.7779584091,-343566.67599954543,-345117.7730312356,11
2006-10-05,-353610.0625,-356169.34786166024,-348995.5562337983,-348995.5562337983,11
2006-10-06,-347832.21875,-348995.5490808238,-341278.87800153584,-348026.1170000437,7
2006-10-09,-342054.40625,-342054.40625,-342015.6206836804,-342015.6206836804,2
2006-10-10,-352873.25,-359426.61982425227,-352020.1451016101,-356750.978021978,12
2006-10-11,-348995.5,-352058.9084946102,-348219.9662783305,-352058.9084946102,3
2006-10-12,-348995.5,-348995.5,-348995.5,-348995.5,0
2006-10-13,-348956.8125,-355781.6235904717,-341821.80558452045,-351012.00406620395,4
2006-10-16,-354812.15625,-354812.15625,-347832.23314562,-348801.6652665216,1
2006-10-17,-348220.03125,-354114.16555468825,-345195.3781678261,-348995.56511637033,0
2006-10-18,-347056.75,-356712.2870514726,-345505.6524629433,-348995.6145251396,5
2006-10-19,-350934.375,-352795.69740954024,-347056.6470994475,-347056.6470994475,7
2006-10-20,-350934.375,-350934.375,-346668.8802263355,-350740.47677108593,21
2006-10-23,-360628.75,-362567.61424731184,-343256.513326809,-343954.5056392301,4
2006-10-24,-358689.875,-363730.93372577976,-354036.6127798338,-354850.9321891269,2
2006-10-25,-354773.28125,-359465.32798222377,-352873.2030557273,-358689.7943148876,4
2006-10-26,-356750.9375,-362528.74331274757,-355199.84055044857,-356479.497752682,1589
2006-10-27,-354812.15625,-356751.0204918033,-349577.22871407523,-356751.0204918033,1
2006-10-30,-356983.59375,-361404.20085169456,-352911.9975167096,-359853.13347789657,6
2006-10-31,-360628.75,-376100.8784098266,-360628.75,-360628.75,5
2006-11-01,-362567.5625,-368345.3688486324,-358883.7327897689,-358883.7327897689,5
2006-11-02,-362567.5625,-362567.5625,-362567.5625,-362567.5625,0
2006-11-03,-376139.625,-383895.081185567,-362567.5766752577,-362567.5766752577,5
2006-11-06,-368423.0,-383895.1287223611,-368423.0,-383856.34315290966,2104
2006-11-07,-364467.65625,-379978.5686676496,-361287.9203877706,-368384.1699191775,1
2006-11-08,-362567.5625,-368345.3688486324,-357526.50434258406,-368345.3688486324,4
2006-11-09,-361016.53125,-378078.5432199471,-360628.7643021034,-370323.08592312766,4
2006-11-10,-366445.3125,-370323.04067460314,-358689.8561507936,-362567.5843253968,4
2006-11-13,-359194.0,-368384.2276994224,-358689.90591785865,-360667.5558450199,3166
2006-11-14,-364118.65625,-368267.82392557163,-361249.1458835984,-364622.75022722635,2
2006-11-15,-364118.65625,-364118.65625,-364118.65625,-364118.65625,0
2006-11-16,-362567.5625,-369935.2515051786,-360628.6985294118,-365010.5204524433,3
2006-11-17,-364467.65625,-364506.44181476504,-353454.92263413325,-360628.71371035266,0
2006-11-20,-364467.65625,-364467.65625,-364467.65625,-364467.65625,0
2006-11-21,-367143.375,-372068.07770670863,-362761.551974827,-372068.07770670863,1442
2006-11-22,-370672.0625,-372223.15985621896,-364118.721286675,-367220.88641439157,3
2006-11-24,-371951.71875,-375751.90578034375,-366445.3512599716,-370323.07984473323,70
2006-11-27,-362606.375,-371408.8050630998,-362567.5894339864,-368384.1817778471,1293
2006-11-28,-374588.5,-377535.58141515794,-356750.95801613625,-356750.95801613625,3
2006-11-29,-378854.09375,-380056.20980139886,-372649.7335570754,-376139.6954108214,9
2006-11-30,-376139.625,-378854.02283106145,-372649.6637995513,-377690.7221540569,1
2006-12-01,-369935.3125,-376915.2061941306,-369935.3125,-372339.48528571025,35
2006-12-04,-377690.71875,-378000.9440949589,-364971.77545385837,-369935.2626343315,4
2006-12-05,-383817.5625,-389595.3694186352,-372261.91907801025,-382499.119485878,8
2006-12-06,-383817.5625,-387656.5052567706,-378194.838679761,-383507.337133769,1
2006-12-07,-394713.96875,-395528.2881460167,-384321.65568199044,-385872.75292499707,6
2006-12-08,-407161.46875,-410651.43011337233,-393977.1867021038,-395528.2839285714,13
2006-12-11,-424611.21875,-424611.21875,-407161.44263698626,-407161.44263698626,13
2006-12-12,-418794.65625,-424611.2486979167,-413404.6162817081,-416817.006533987,4
2006-12-13,-422672.40625,-428450.2134278608,-408169.7099522997,-422594.8646973229,1
2006-12-14,-426550.125,-432483.04473235394,-422207.058531319,-426937.89192396513,2748
2006-12-15,-423021.375,-430389.06484288827,-418019.1314216754,-426550.1220283546,1
2006-12-18,-426550.125,-428488.98920454545,-422672.3965909091,-428450.203636733,3
2006-12-19,-411039.15625,-425619.421396928,-407200.21392346104,-423060.1067894248,2849
2006-12-20,-401344.84375,-422672.3475241546,-399832.5322127918,-422672.3475241546,0
2006-12-21,-402857.21875,-403283.77125945594,-395528.31411985104,-401344.9069745547,19
2006-12-22,-403283.75,-403283.75,-399406.0216346154,-402857.1975130301,1
2006-12-26,-401344.84375,-403283.7077294686,-399483.52131243487,-403089.8094976351,2088
2006-12-27,-422672.40625,-422672.40625,-401577.5537553665,-401577.5537553665,85
2006-12-28,-422672.40625,-425735.81531335454,-408324.82264237443,-411039.2207568807,5
2006-12-29,-422672.40625,-422672.40625,-422672.40625,-422672.40625,0
2007-01-03,-422672.40625,-428488.9989965596,-415304.71618741367,-426550.1347477064,4
2007-01-04,-419802.875,-426395.0012911601,-414916.92904712557,-422672.3856648289,1
2007-01-05,-405222.59375,-422672.3705143541,-391689.33072092204,-415149.56839772273,4
2007-01-08,-407200.28125,-415304.71967765054,-403283.76715068024,-405416.5296762308,0
2007-01-09,-402508.21875,-408247.2402002433,-400569.3545548357,-401461.2155171682,1
2007-01-10,-402508.21875,-402508.21875,-391650.5674231919,-392503.6724026194,1945
2007-01-11,-414723.0625,-422284.6510311141,-393589.4534351537,-413171.99472566816,41
2007-01-12,-418406.9375,-421315.23405873304,-400879.58700525784,-406192.0860363769,0
2007-01-16,-410651.5,-418639.61213639256,-399406.08017520956,-407549.30501911853,1
2007-01-17,-408712.5625,-412590.29074082593,-402159.19230589416,-406851.2399271273,2747
2007-01-18,-400569.34375,-419957.98517865984,-399871.3514751795,-409100.3341447227,2028
2007-01-19,-404989.9375,-408712.55297426484,-401810.2016000206,-405145.0501761841,1602
2007-01-22,-409100.3125,-426511.3032980327,-396924.2486937916,-414916.9046208531,2
2007-01-23,-404834.8125,-409100.3074187018,-403283.7153700947,-407161.4434024994,1208
